ZIP,date,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,stay_home_ratio,ave_new7_10after
91765,2020/3/20,2,0,2020,8580,921,757,17,98,47139,2491,4.24E-05,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.193268187,0.25
91773,2020/3/20,1,0,1568,6462,658,724,14,98,34496,2411,2.90E-05,0,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.382978723,0.5
91789,2020/3/20,2,1,1587,7056,731,850,10,99,44474,2844,4.50E-05,2.25E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.170998632,0.5
91803,2020/3/20,3,1,968,4597,374,771,24,97,30385,9303,9.87E-05,3.29E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.588235294,0.75
93536,2020/3/20,3,2,3249,8330,1328,712,24,97,72383,298,4.14E-05,2.76E-05,2,56.79,33.16,53.02,-40,-5,-29,-44,-41,22,2.446536145,3
90003,2020/3/21,1,1,1221,5476,602,724,8,99,72741,20484,1.37E-05,1.37E-05,1,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.028239203,3.25
90004,2020/3/21,16,3,1659,6172,790,652,10,98,61586,20205,0.000259799,4.87E-05,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.1,16.75
90006,2020/3/21,2,1,1679,9428,559,487,82,86,61698,32134,3.24E-05,1.62E-05,1,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,3.003577818,5
90007,2020/3/21,1,0,1438,158976,384,242,311,44,41716,16909,2.40E-05,0,1,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,3.744791667,3.25
90008,2020/3/21,2,1,811,5025,338,502,25,95,31739,8641,6.30E-05,3.15E-05,1,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.399408284,1.5
90011,2020/3/21,1,1,2594,187390,1213,630,8,99,109414,25528,9.14E-06,9.14E-06,1,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.138499588,2.75
90014,2020/3/21,1,0,218,9523,91,262,18,94,8335,29452,0.000119976,0,1,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.395604396,1.5
90018,2020/3/21,2,1,1146,4912,578,571,6,99,53256,18389,3.76E-05,1.88E-05,1,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,1.982698962,2.5
90022,2020/3/21,1,0,1494,4839,689,736,9,99,65890,15036,1.52E-05,0,1,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.168359942,2
90024,2020/3/21,5,0,1313,56221,412,206,169,55,50288,17186,9.94E-05,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,3.186893204,3
90025,2020/3/21,7,0,1011,6708,503,459,8,98,47967,18671,0.000145934,0,2,47.54,27.5,52.41,-48,-13,-28,-46,-34,18,2.009940358,4.5
