ZIP,week,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,stay_home_ratio,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,week3
90008,2020/4/19,65,12,802,5136,394,829,5,99,31739,8641,0.002047954,0.000378,1,0.49127182,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,18
90008,2020/4/26,80,15,860,5532,378,729,10,98,31739,8641,0.002520558,0.0004725280000000001,1,0.439534884,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,34
90008,2020/5/3,98,18,834,5351,375,705,12,98,31739,8641,0.0030876840000000003,0.000567084,1,0.449640288,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,28
90008,2020/5/10,132,34,887,5058,405,753,7,99,31739,8641,0.004158921,0.00107121,1,0.456595265,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,38
90011,2020/3/22,1,1,2668,189138,1224,689,9,98,109414,25528,9.14e-06,9.14e-06,1,0.458770615,58.0,37.0,55.0,-35.0,-3.0,-28.0,-39.0,-33.0,16.0,38
90011,2020/3/29,7,5,2756,201038,1196,736,18,97,109414,25528,6.4e-05,4.57e-05,1,0.433962264,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,36
90011,2020/4/5,45,38,3453,123002,1677,713,9,98,109414,25528,0.000411282,0.00034730000000000004,1,0.485664639,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,39
90011,2020/4/12,79,36,2809,31288,1308,819,14,98,109414,25528,0.000722028,0.000329116,1,0.465646137,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,121
90011,2020/4/19,118,39,2653,41304,1143,828,19,97,109414,25528,0.001078473,0.00035630000000000004,1,0.430833019,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,118
90011,2020/4/26,239,121,2820,30818,1139,717,25,96,109414,25528,0.002184364,0.001105816,1,0.403900709,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,134
90011,2020/5/3,357,118,2786,28237,1137,691,30,95,109414,25528,0.003262837,0.001078456,1,0.408111989,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,129
90011,2020/5/10,491,134,3009,8812,1180,655,29,95,109414,25528,0.004487543,0.00122479,1,0.392156863,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,211
90012,2020/3/29,2,2,656,8534,278,722,25,96,35913,11104,5.570000000000001e-05,5.56e-05,1,0.423780488,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,0
90012,2020/4/5,7,5,721,7272,360,797,9,98,35913,11104,0.000194915,0.00013918,1,0.499306519,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,1
90012,2020/4/12,7,0,694,7891,375,910,6,99,35913,11104,0.000194915,0.0,1,0.5403458210000001,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,15
90012,2020/4/19,8,1,659,7746,338,979,6,99,35913,11104,0.000222761,2.78e-05,1,0.512898331,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,2
90012,2020/4/26,23,15,719,8257,338,825,11,98,35913,11104,0.000640437,0.00041755,1,0.4700973570000001,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,7
90012,2020/5/3,23,2,705,7291,341,773,10,98,35913,11104,0.000640437,5.56e-05,1,0.483687943,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,7
90012,2020/5/10,30,7,744,6134,357,763,11,98,35913,11104,0.0008353519999999999,0.0001947,1,0.47983871,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,14
90013,2020/3/29,12,11,357,5958,152,414,18,95,11937,17789,0.001005278,0.00092153,1,0.425770308,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,6
90013,2020/4/5,12,5,400,5672,196,475,9,98,11937,17789,0.001005278,0.000418946,1,0.49,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,18
90013,2020/4/12,18,6,384,5812,190,506,11,97,11937,17789,0.001507917,0.000502692,1,0.4947916670000001,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,32
90013,2020/4/19,34,18,313,7415,155,633,6,99,11937,17789,0.002848287,0.001507943,1,0.495207668,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,65
90013,2020/4/26,66,32,360,7537,155,415,15,96,11937,17789,0.005529027,0.002680768,1,0.430555556,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,110
90013,2020/5/3,131,65,367,7352,171,392,14,96,11937,17789,0.010974282,0.005445254,1,0.465940054,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,206
90013,2020/5/10,241,110,397,5162,185,389,7,98,11937,17789,0.020189327,0.009215046,1,0.465994962,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,125
90014,2020/3/22,1,1,226,7480,84,239,36,86,8335,29452,0.000119976,0.000119976,1,0.371681416,58.0,37.0,55.0,-35.0,-3.0,-28.0,-39.0,-33.0,16.0,9
90014,2020/3/29,10,9,238,5884,89,210,46,82,8335,29452,0.00119976,0.001079784,1,0.37394958,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,10
90014,2020/4/5,19,9,247,5986,103,282,27,91,8335,29452,0.002279544,0.001079784,1,0.417004049,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,4
90014,2020/4/12,27,10,221,5619,94,318,19,94,8335,29452,0.003239352,0.00119976,1,0.425339367,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,20
