ZIP,date_start - date_end,Predictd new cases,cases/10000 population
90241,2020/4/19 - 2020/4/25,26.912195,6.09659
90241,2020/4/26 - 2020/5/2,42.187103,9.55692
90241,2020/5/3 - 2020/5/9,46.56568,10.54883
90241,2020/5/10 - 2020/5/16,44.297844,10.03508
90241,2020/5/17 - 2020/5/23,43.13472,9.77159
90245,2020/4/5 - 2020/4/11,14.503204,8.60724
90245,2020/4/12 - 2020/4/18,1.7603086,1.04469
90245,2020/4/19 - 2020/4/25,-0.39321133,-0.23336
90245,2020/4/26 - 2020/5/2,5.269945,3.12756
90245,2020/5/3 - 2020/5/9,4.2729387,2.53587
90245,2020/5/10 - 2020/5/16,1.0697416,0.634861
90245,2020/5/17 - 2020/5/23,1.4166777,0.840758
90247,2020/4/5 - 2020/4/11,18.708067,3.93597
90247,2020/4/12 - 2020/4/18,15.062708,3.16903
90247,2020/4/19 - 2020/4/25,26.363806,5.54666
90247,2020/4/26 - 2020/5/2,45.253334,9.5208
90247,2020/5/3 - 2020/5/9,30.536306,6.4245
90247,2020/5/10 - 2020/5/16,26.522556,5.58005
90247,2020/5/17 - 2020/5/23,19.081835,4.01461
90248,2020/4/12 - 2020/4/18,3.6967943,3.21125
90248,2020/4/19 - 2020/4/25,5.178583,4.49842
90248,2020/4/26 - 2020/5/2,10.733012,9.32333
90248,2020/5/3 - 2020/5/9,7.7102323,6.69756
90248,2020/5/10 - 2020/5/16,8.745587,7.59693
90248,2020/5/17 - 2020/5/23,8.093391,7.0304
90249,2020/4/19 - 2020/4/25,-2.4598715,-0.925216
90249,2020/4/26 - 2020/5/2,3.9516737,1.48632
90249,2020/5/3 - 2020/5/9,1.0923005,0.41084
90249,2020/5/10 - 2020/5/16,0.787333,0.296135
90249,2020/5/17 - 2020/5/23,0.66336143,0.249506
90250,2020/4/5 - 2020/4/11,19.06556,1.96885
90250,2020/4/12 - 2020/4/18,25.728384,2.6569
90250,2020/4/19 - 2020/4/25,30.394258,3.13874
90250,2020/4/26 - 2020/5/2,57.047153,5.89111
90250,2020/5/3 - 2020/5/9,54.986732,5.67834
90250,2020/5/10 - 2020/5/16,48.63605,5.02252
90250,2020/5/17 - 2020/5/23,39.25614,4.05388
90254,2020/4/12 - 2020/4/18,0.75547487,0.384466
90254,2020/4/19 - 2020/4/25,-1.6247861,-0.826863
90254,2020/4/26 - 2020/5/2,2.022978,1.02951
90254,2020/5/3 - 2020/5/9,0.4245404,0.216051
90254,2020/5/10 - 2020/5/16,-2.8687315,-1.45991
90254,2020/5/17 - 2020/5/23,-0.6253582,-0.318248
90255,2020/4/12 - 2020/4/18,20.530626,2.71713
90255,2020/4/19 - 2020/4/25,27.977041,3.70263
90255,2020/4/26 - 2020/5/2,49.718616,6.58002
90255,2020/5/3 - 2020/5/9,62.295357,8.24449
90255,2020/5/10 - 2020/5/16,52.99555,7.0137
90255,2020/5/17 - 2020/5/23,43.0592,5.69868
90262,2020/4/5 - 2020/4/11,20.944067,2.95253
90262,2020/4/12 - 2020/4/18,20.124607,2.83701
90262,2020/4/19 - 2020/4/25,24.71318,3.48387
90262,2020/4/26 - 2020/5/2,53.464565,7.53701
90262,2020/5/3 - 2020/5/9,50.41774,7.1075
90262,2020/5/10 - 2020/5/16,46.11575,6.50104
90262,2020/5/17 - 2020/5/23,48.197563,6.79451
90265,2020/4/5 - 2020/4/11,14.138793,7.68872
90265,2020/4/12 - 2020/4/18,2.860228,1.5554
90265,2020/4/19 - 2020/4/25,2.5213654,1.37113
90265,2020/4/26 - 2020/5/2,10.144155,5.51643
90265,2020/5/3 - 2020/5/9,3.209984,1.7456
90265,2020/5/10 - 2020/5/16,2.976275,1.61851
90265,2020/5/17 - 2020/5/23,3.5557582,1.93363
90266,2020/4/5 - 2020/4/11,19.964672,5.61231
90266,2020/4/12 - 2020/4/18,7.747965,2.17805
90266,2020/4/19 - 2020/4/25,2.050518,0.576425
90266,2020/4/26 - 2020/5/2,11.738036,3.2997
90266,2020/5/3 - 2020/5/9,4.8689003,1.36871
