ZIP,date_start - date_end,Predictd new cases,cases/10000 population
90045,2020/4/26 - 2020/5/2,11.141891,2.70769
90045,2020/5/3 - 2020/5/9,6.0592523,1.47252
90045,2020/5/10 - 2020/5/16,5.5148764,1.34022
90045,2020/5/17 - 2020/5/23,4.1974897,1.02007
90046,2020/4/5 - 2020/4/11,27.078283,5.35281
90046,2020/4/12 - 2020/4/18,28.61125,5.65585
90046,2020/4/19 - 2020/4/25,18.357954,3.62899
90046,2020/4/26 - 2020/5/2,29.856022,5.90192
90046,2020/5/3 - 2020/5/9,27.14094,5.3652
90046,2020/5/10 - 2020/5/16,21.16604,4.18409
90046,2020/5/17 - 2020/5/23,9.998548,1.97651
90047,2020/4/12 - 2020/4/18,17.374247,3.55425
90047,2020/4/19 - 2020/4/25,18.43673,3.7716
90047,2020/4/26 - 2020/5/2,41.93002,8.57763
90047,2020/5/3 - 2020/5/9,39.867462,8.15569
90047,2020/5/10 - 2020/5/16,33.09888,6.77104
90047,2020/5/17 - 2020/5/23,22.975555,4.70011
90048,2020/4/12 - 2020/4/18,6.1310678,2.67826
90048,2020/4/19 - 2020/4/25,0.4392225,0.191867
90048,2020/4/26 - 2020/5/2,10.922007,4.7711
90048,2020/5/3 - 2020/5/9,5.756544,2.51465
90048,2020/5/10 - 2020/5/16,3.3752158,1.47441
90048,2020/5/17 - 2020/5/23,1.6870257,0.73695
90049,2020/4/5 - 2020/4/11,25.63658,6.93555
90049,2020/4/12 - 2020/4/18,14.650533,3.96346
90049,2020/4/19 - 2020/4/25,5.6858826,1.53822
90049,2020/4/26 - 2020/5/2,14.290368,3.86602
90049,2020/5/3 - 2020/5/9,6.8671007,1.85778
90049,2020/5/10 - 2020/5/16,4.9825435,1.34794
90049,2020/5/17 - 2020/5/23,3.8363247,1.03785
90056,2020/4/12 - 2020/4/18,1.1731946,1.50506
90056,2020/4/19 - 2020/4/25,-3.391465,-4.35082
90056,2020/4/26 - 2020/5/2,-3.25728,-4.17868
90056,2020/5/3 - 2020/5/9,-4.369905,-5.60604
90056,2020/5/10 - 2020/5/16,-3.4759743,-4.45924
90056,2020/5/17 - 2020/5/23,-1.2169057,-1.56114
90058,2020/5/17 - 2020/5/23,-2.809098,-10.18527
90059,2020/4/12 - 2020/4/18,14.514498,3.15862
90059,2020/4/19 - 2020/4/25,11.401966,2.48128
90059,2020/4/26 - 2020/5/2,28.07439,6.1095
90059,2020/5/3 - 2020/5/9,17.781483,3.86958
90059,2020/5/10 - 2020/5/16,15.999331,3.48175
90059,2020/5/17 - 2020/5/23,12.54608,2.73026
90061,2020/4/5 - 2020/4/11,22.456495,8.12287
90061,2020/4/12 - 2020/4/18,13.39861,4.84649
90061,2020/4/19 - 2020/4/25,9.951697,3.59969
90061,2020/4/26 - 2020/5/2,23.03339,8.33155
90061,2020/5/3 - 2020/5/9,20.46048,7.40088
90061,2020/5/10 - 2020/5/16,20.898182,7.55921
90061,2020/5/17 - 2020/5/23,14.488387,5.24068
90064,2020/4/12 - 2020/4/18,-0.11006413,-0.0432829
90064,2020/4/19 - 2020/4/25,-2.2604065,-0.888909
90064,2020/4/26 - 2020/5/2,3.0622616,1.20424
90064,2020/5/3 - 2020/5/9,0.72489023,0.285064
90064,2020/5/10 - 2020/5/16,0.8136205,0.319958
90064,2020/5/17 - 2020/5/23,-0.90732753,-0.356808
90065,2020/4/12 - 2020/4/18,15.768504,3.29286
90065,2020/4/19 - 2020/4/25,16.959126,3.54149
90065,2020/4/26 - 2020/5/2,32.23059,6.73055
90065,2020/5/3 - 2020/5/9,28.909746,6.03708
90065,2020/5/10 - 2020/5/16,23.754566,4.96055
90065,2020/5/17 - 2020/5/23,21.02339,4.39021
90066,2020/4/5 - 2020/4/11,25.241957,4.24992
90066,2020/4/12 - 2020/4/18,17.404263,2.93031
90066,2020/4/19 - 2020/4/25,9.506508,1.60058
90066,2020/4/26 - 2020/5/2,22.078016,3.71721
90066,2020/5/3 - 2020/5/9,13.052527,2.19762
90066,2020/5/10 - 2020/5/16,10.460935,1.76128
90066,2020/5/17 - 2020/5/23,5.8090234,0.978049
90068,2020/4/5 - 2020/4/11,23.997488,11.43718
90068,2020/4/12 - 2020/4/18,13.1180935,6.25207
90068,2020/4/19 - 2020/4/25,4.083269,1.94608
90068,2020/4/26 - 2020/5/2,10.862223,5.17692
90068,2020/5/3 - 2020/5/9,8.793753,4.19109
90068,2020/5/10 - 2020/5/16,6.082984,2.89914
90068,2020/5/17 - 2020/5/23,3.6213114,1.72591
90069,2020/4/5 - 2020/4/11,26.111244,12.77771
90069,2020/4/12 - 2020/4/18,14.52783,7.10929
90069,2020/4/19 - 2020/4/25,7.5751724,3.70696
90069,2020/4/26 - 2020/5/2,14.161866,6.9302
90069,2020/5/3 - 2020/5/9,8.432804,4.12665
90069,2020/5/10 - 2020/5/16,4.8307667,2.36397
90069,2020/5/17 - 2020/5/23,1.3845185,0.677523
90077,2020/4/12 - 2020/4/18,0.710426,0.789977
90077,2020/4/19 - 2020/4/25,-2.8729808,-3.19469
90077,2020/4/26 - 2020/5/2,-0.93674135,-1.04163
90077,2020/5/3 - 2020/5/9,-2.2667706,-2.52059
90077,2020/5/10 - 2020/5/16,-0.8310493,-0.924107
90077,2020/5/17 - 2020/5/23,-2.1675775,-2.41029
90094,2020/4/5 - 2020/4/11,17.88389,19.0904
90094,2020/4/12 - 2020/4/18,0.67399263,0.719463
90094,2020/4/19 - 2020/4/25,-4.036025,-4.30831
90094,2020/4/26 - 2020/5/2,-1.3982542,-1.49259
90094,2020/5/3 - 2020/5/9,-3.2989388,-3.5215
90094,2020/5/10 - 2020/5/16,-4.7737184,-5.09577
90094,2020/5/17 - 2020/5/23,-2.658908,-2.83829
90201,2020/4/12 - 2020/4/18,35.510536,3.46671
90201,2020/4/19 - 2020/4/25,40.45483,3.94939
90201,2020/4/26 - 2020/5/2,92.428505,9.02331
90201,2020/5/3 - 2020/5/9,90.04928,8.79104
90201,2020/5/10 - 2020/5/16,77.02276,7.51933
90201,2020/5/17 - 2020/5/23,55.082096,5.37738
90210,2020/4/5 - 2020/4/11,34.79165,17.47534
90210,2020/4/12 - 2020/4/18,11.515802,5.78422
90210,2020/4/19 - 2020/4/25,-0.45772296,-0.229908
90210,2020/4/26 - 2020/5/2,14.977359,7.52291
90210,2020/5/3 - 2020/5/9,15.164052,7.61668
