ZIP,date_start - date_end,Predicted new cases,cases/10000 population
90045,2020/5/8 - 2020/5/11,0.11953236,0.029048667
90045,2020/5/9 - 2020/5/12,0.15177888,0.036885192
90045,2020/5/10 - 2020/5/13,0.3735736,0.090785584
90045,2020/5/11 - 2020/5/14,-0.2796152,-0.067951881
90069,2020/3/22 - 2020/3/25,5.09356,2.492566782
90069,2020/3/23 - 2020/3/26,5.329724,2.608134982
90069,2020/3/24 - 2020/3/27,5.85826,2.866777663
90069,2020/3/25 - 2020/3/28,6.0194936,2.945678287
90069,2020/3/26 - 2020/3/29,5.645567,2.762694857
90069,2020/3/27 - 2020/3/30,5.022549,2.457817055
90069,2020/3/28 - 2020/3/31,4.486584,2.195539117
90069,2020/3/29 - 2020/4/1,5.5433583,2.712678408
90069,2020/3/30 - 2020/4/2,3.2734764,1.601896923
90069,2020/3/31 - 2020/4/3,3.3204262,1.624872144
90069,2020/4/1 - 2020/4/4,3.2773185,1.603777087
90069,2020/4/2 - 2020/4/5,4.4480944,2.176703875
90069,2020/4/3 - 2020/4/6,4.9698386,2.432022813
90069,2020/4/4 - 2020/4/7,4.057383,1.985506758
90069,2020/4/5 - 2020/4/8,5.4073057,2.64610018
90069,2020/4/6 - 2020/4/9,2.452114,1.199957967
90069,2020/4/7 - 2020/4/10,1.3147409,0.643376998
90069,2020/4/8 - 2020/4/11,3.2009044,1.566383347
90069,2020/4/9 - 2020/4/12,2.9984539,1.467312873
90069,2020/4/10 - 2020/4/13,2.2109246,1.081930328
90069,2020/4/11 - 2020/4/14,-0.54311377,-0.265776251
90069,2020/4/12 - 2020/4/15,0.548588,0.268455091
90069,2020/4/13 - 2020/4/16,-0.06266212,-0.030664114
90069,2020/4/14 - 2020/4/17,0.021624165,0.010581925
90069,2020/4/15 - 2020/4/18,0.8127748,0.397736617
90069,2020/4/16 - 2020/4/19,0.6612489,0.323586456
90069,2020/4/17 - 2020/4/20,1.6189709,0.792253913
90069,2020/4/18 - 2020/4/21,2.9816906,1.459109687
90069,2020/4/19 - 2020/4/22,1.6430241,0.80402451
90069,2020/4/20 - 2020/4/23,1.8816166,0.920781303
90069,2020/4/21 - 2020/4/24,1.1962354,0.585385573
90069,2020/4/22 - 2020/4/25,0.66033924,0.323141295
90069,2020/4/23 - 2020/4/26,1.5682378,0.767427346
90069,2020/4/24 - 2020/4/27,0.46413213,0.227126073
90069,2020/4/25 - 2020/4/28,0.40459096,0.197989217
90069,2020/4/26 - 2020/4/29,-0.5417014,-0.265085088
90069,2020/4/27 - 2020/4/30,0.01028691,0.005033966
90069,2020/4/28 - 2020/5/1,1.0025074,0.490583532
90069,2020/4/29 - 2020/5/2,-0.058692332,-0.028721474
90069,2020/4/30 - 2020/5/3,1.3770669,0.673876609
90069,2020/5/1 - 2020/5/4,1.2948014,0.633619454
90069,2020/5/2 - 2020/5/5,-0.4965898,-0.243009449
90069,2020/5/3 - 2020/5/6,-0.5732641,-0.280530522
90069,2020/5/4 - 2020/5/7,1.0348493,0.506410221
90069,2020/5/5 - 2020/5/8,-0.7423101,-0.363254273
90069,2020/5/6 - 2020/5/9,-0.35796276,-0.175171401
90069,2020/5/7 - 2020/5/10,0.4392301,0.21494011
90069,2020/5/8 - 2020/5/11,1.0204635,0.499370427
90069,2020/5/9 - 2020/5/12,-0.45168152,-0.221033288
90069,2020/5/10 - 2020/5/13,0.8146042,0.398631868
90069,2020/5/11 - 2020/5/14,0.9042876,0.442519
90210,2020/3/22 - 2020/3/25,0.77131397,0.387419742
90210,2020/3/23 - 2020/3/26,1.0648259,0.534846498
90210,2020/3/24 - 2020/3/27,3.2130537,1.61386996
90210,2020/3/25 - 2020/3/28,3.916108,1.967003814
90210,2020/3/26 - 2020/3/29,5.264058,2.644059527
90210,2020/3/27 - 2020/3/30,5.828824,2.927733208
90210,2020/3/28 - 2020/3/31,5.0736623,2.548426481
90210,2020/3/29 - 2020/4/1,5.0015173,2.512189108
90210,2020/3/30 - 2020/4/2,6.0457096,3.036671661
90210,2020/3/31 - 2020/4/3,5.265512,2.644789788
90210,2020/4/1 - 2020/4/4,6.2958603,3.162318695
90210,2020/4/2 - 2020/4/5,5.9748774,3.001093655
90210,2020/4/3 - 2020/4/6,4.5168443,2.268744926
90210,2020/4/4 - 2020/4/7,2.219573,1.114859119
90210,2020/4/5 - 2020/4/8,3.813924,1.915678374
90210,2020/4/6 - 2020/4/9,1.9685377,0.988767737
90210,2020/4/7 - 2020/4/10,3.5465388,1.78137467
90210,2020/4/8 - 2020/4/11,3.874799,1.946254967
90210,2020/4/9 - 2020/4/12,2.1337614,1.071757198
90210,2020/4/10 - 2020/4/13,2.2312658,1.120732223
90210,2020/4/11 - 2020/4/14,0.846929,0.425400077
90210,2020/4/12 - 2020/4/15,-0.30769268,-0.154549539
90210,2020/4/13 - 2020/4/16,0.44368702,0.222857513
90210,2020/4/14 - 2020/4/17,0.39861256,0.200217268
90210,2020/4/15 - 2020/4/18,-0.2568958,-0.129035014
90210,2020/4/16 - 2020/4/19,0.25451055,0.127836934
90210,2020/4/17 - 2020/4/20,2.816092,1.4144819
90210,2020/4/18 - 2020/4/21,3.8350005,1.926264762
90210,2020/4/19 - 2020/4/22,2.4390128,1.225080499
90210,2020/4/20 - 2020/4/23,2.9200053,1.466676037
90210,2020/4/21 - 2020/4/24,3.2568083,1.635847245
90210,2020/4/22 - 2020/4/25,1.983145,0.996104776
90210,2020/4/23 - 2020/4/26,1.1436154,0.574421299
90210,2020/4/24 - 2020/4/27,-0.29369235,-0.147517379
90210,2020/4/25 - 2020/4/28,1.8538284,0.931150952
90210,2020/4/26 - 2020/4/29,1.252748,0.629237035
90210,2020/4/27 - 2020/4/30,1.087786,0.546379004
90210,2020/4/28 - 2020/5/1,1.3998013,0.703099731
90210,2020/4/29 - 2020/5/2,0.59574604,0.299234537
90210,2020/4/30 - 2020/5/3,1.6836915,0.845693657
90210,2020/5/1 - 2020/5/4,0.4777678,0.239975787
90210,2020/5/2 - 2020/5/5,1.194551,0.600005521
90210,2020/5/3 - 2020/5/6,0.14382632,0.072241861
90210,2020/5/4 - 2020/5/7,1.4090929,0.70776679
90210,2020/5/5 - 2020/5/8,0.9592093,0.481796837
90210,2020/5/6 - 2020/5/9,0.81659466,0.410163574
